Date,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Adj Close,AAPL_Volume,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Adj Close,AMZN_Volume,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Adj Close,MSFT_Volume,SPX_Open,SPX_High,SPX_Low,SPX_Close,SPX_Adj Close,SPX_Volume,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Adj Close,IRX_Open,IRX_High,IRX_Low,IRX_Close,IRX_Adj Close
2021-07-28,144.809998,146.970001,142.539993,144.979996,143.30069,118931200.0,181.688995,182.921005,180.050003,181.516006,181.516006,59988000.0,288.98999,290.149994,283.829987,286.220001,281.183807,33566900.0,4402.950195,4415.470215,4387.009766,4400.640137,4400.640137,4215290000.0,19.41,19.620001,17.52,18.309999,18.309999,0.045,0.045,0.045,0.045,0.045
2021-07-29,144.690002,146.550003,144.580002,145.639999,143.953079,56699500.0,181.387497,181.897507,179.000504,179.996002,179.996002,110400000.0,286.23999,288.619995,286.079987,286.5,281.458862,18168300.0,4403.589844,4429.970215,4403.589844,4419.149902,4419.149902,4044600000.0,17.91,18.01,17.190001,17.700001,17.700001,0.045,0.045,0.04,0.04,0.04
2021-07-30,144.380005,146.330002,144.110001,145.860001,144.170547,70440600.0,167.397507,168.406998,165.348999,166.379501,166.379501,199312000.0,285.170013,286.660004,283.910004,284.910004,279.89682,20944800.0,4395.120117,4412.25,4389.649902,4395.259766,4395.259766,3956740000.0,19.690001,19.719999,17.530001,18.24,18.24,0.04,0.04,0.04,0.04,0.04
2021-08-02,146.360001,146.949997,145.25,145.520004,143.834473,62880000.0,167.654999,167.945999,165.850006,166.574005,166.574005,67078000.0,286.359985,286.769989,283.73999,284.820007,279.808472,16267400.0,4406.859863,4422.180176,4384.810059,4387.160156,4387.160156,3724090000.0,18.16,19.870001,17.99,19.459999,19.459999,0.038,0.038,0.038,0.038,0.038
2021-08-03,145.809998,148.039993,145.179993,147.360001,145.653152,64786600.0,167.035995,169.550003,164.988495,168.311996,168.311996,83146000.0,285.420013,287.230011,284.0,287.119995,282.067902,17879000.0,4392.740234,4423.790039,4373.0,4423.149902,4423.149902,3965190000.0,19.17,20.440001,17.700001,18.040001,18.040001,0.043,0.045,0.043,0.045,0.045
2021-08-04,147.270004,147.789993,146.279999,146.949997,145.247894,56368300.0,168.967499,169.444,167.278,167.735992,167.735992,43678000.0,286.220001,287.589996,284.649994,286.51001,281.468689,16191300.0,4415.950195,4416.169922,4400.22998,4402.660156,4402.660156,4260760000.0,18.23,18.9,17.67,17.969999,17.969999,0.045,0.045,0.045,0.045,0.045
2021-08-05,146.979996,147.839996,146.169998,147.059998,145.356644,46397700.0,167.811005,169.449997,167.046005,168.7995,168.7995,48670000.0,286.880005,289.630005,286.100006,289.519989,284.425781,13900200.0,4408.859863,4429.759766,4408.859863,4429.100098,4429.100098,3769410000.0,17.73,17.84,17.23,17.280001,17.280001,0.043,0.045,0.043,0.043,0.043
2021-08-06,146.350006,147.110001,145.630005,146.139999,144.663696,54126800.0,168.75,168.75,166.451996,167.246994,167.246994,52752000.0,288.51001,289.5,287.619995,289.459991,284.366791,16589300.0,4429.069824,4440.819824,4429.069824,4436.52002,4436.52002,3451870000.0,17.459999,17.5,16.139999,16.15,16.15,0.043,0.045,0.043,0.043,0.043
2021-08-09,146.199997,146.699997,145.520004,146.089996,144.614197,48908700.0,167.180496,167.744003,166.425995,167.093506,167.093506,42964000.0,289.75,291.549988,287.809998,288.329987,283.256653,16117600.0,4437.77002,4439.390137,4424.740234,4432.350098,4432.350098,3449280000.0,17.120001,17.389999,16.59,16.719999,16.719999,0.045,0.048,0.043,0.045,0.045
2021-08-10,146.440002,147.710007,145.300003,145.600006,144.129166,69023100.0,167.250504,167.899994,165.75,166.033997,166.033997,48252000.0,288.799988,289.25,285.200012,286.440002,281.399963,18616600.0,4435.790039,4445.209961,4430.029785,4436.75,4436.75,3886610000.0,16.82,17.049999,16.34,16.790001,16.790001,0.048,0.05,0.045,0.05,0.05
